game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 1,Away,L 1-4,Luton Town,Brighton,CB,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,1,0,Match Report
N,2,Fri,Premier League,Matchweek 3,Away,L 0-3,Luton Town,Chelsea,LW,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,4,1,0,0,Match Report
N,3,Fri,Premier League,Matchweek 4,Home,L 1-2,Luton Town,West Ham,RB,13,0,0,0,0,1,0,0,0,14,1,1,0,0.0,0.0,0.0,1,0,8,10,80.0,0,10,4,1,0,Match Report
N,4,Sat,Premier League,Matchweek 5,Away,L 0-1,Luton Town,Fulham,"CM,FW",17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,4,7,57.1,0,5,0,2,1,Match Report
Y,5,Sat,Premier League,Matchweek 6,Home,D 1-1,Luton Town,Wolves,"LW,RM",90,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.3,9,0,23,33,69.7,2,29,13,4,2,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,W 2-1,Luton Town,Everton,AM,90,0,0,0,0,1,0,0,0,32,2,0,0,0.0,0.0,0.0,2,0,11,19,57.9,0,13,5,6,2,Match Report
Y,7,Tue,Premier League,Matchweek 2,Home,L 1-2,Luton Town,Burnley,AM,90,0,0,0,0,2,0,0,0,57,1,0,2,0.2,0.2,0.0,4,0,31,41,75.6,4,28,3,3,1,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,LM,90,0,0,0,0,2,0,0,0,49,2,0,0,0.1,0.1,0.0,3,0,23,38,60.5,3,30,5,7,4,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,"RM,LM",90,1,0,0,0,2,1,0,0,49,2,0,0,0.4,0.4,0.5,4,0,22,34,64.7,1,29,4,1,1,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,"AM,WB",90,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,1,0,15,20,75.0,2,21,5,6,2,Match Report
Y,11,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,AM,78,0,0,0,0,1,1,0,0,32,1,0,2,0.0,0.0,0.0,3,0,16,24,66.7,2,21,6,5,4,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,"AM,WB",85,0,0,0,0,1,1,0,0,31,1,1,0,0.0,0.0,0.1,4,0,16,21,76.2,0,20,4,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,"AM,WB",90,0,1,0,0,1,0,0,0,46,1,1,2,0.0,0.0,0.5,2,1,25,31,80.6,0,29,7,7,3,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,AM,59,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,15,0,1,0,Match Report
N,15,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,AM,29,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,6,2,3,3,Match Report
N,16,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,AM,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,1,2,0,Match Report
N,17,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,WB,19,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,6,13,46.2,0,10,1,5,2,Match Report
N,18,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,WB,45,0,0,0,0,1,0,0,0,26,0,1,0,0.2,0.2,0.8,4,0,14,17,82.4,1,18,5,5,1,Match Report
Y,19,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,WB,90,0,0,0,0,4,3,0,0,70,2,0,0,0.2,0.2,0.4,9,0,44,56,78.6,5,41,9,6,5,Match Report
Y,20,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,WB,90,1,0,0,0,3,2,0,0,47,0,0,1,1.1,1.1,0.1,4,2,27,37,73.0,3,26,3,6,3,Match Report
Y,21,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,WB,90,0,0,0,0,1,1,0,0,56,0,0,2,0.1,0.1,0.0,2,2,34,38,89.5,1,35,7,9,5,Match Report
Y,22,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,WB,90,0,0,0,0,1,0,0,0,79,0,0,0,0.0,0.0,0.1,4,0,59,74,79.7,8,44,6,1,1,Match Report
Y,23,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,WB,90,0,0,0,0,4,2,0,0,55,0,0,0,0.2,0.2,0.2,3,0,33,41,80.5,4,43,7,5,3,Match Report
Y,24,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,WB,90,1,0,0,0,3,1,0,0,46,0,0,0,0.5,0.5,0.2,3,0,23,33,69.7,0,22,6,9,7,Match Report
N,25,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,"WB,AM",85,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,4,1,26,35,74.3,1,25,5,5,3,Match Report
Y,26,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,AM,86,0,0,0,0,1,0,0,0,40,0,0,0,0.3,0.3,0.0,0,0,27,33,81.8,5,28,2,1,1,Match Report
Y,27,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,AM,87,1,0,0,0,1,1,1,0,38,2,0,3,0.5,0.5,0.0,1,0,16,20,80.0,1,20,4,4,0,Match Report
Y,28,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,WB,90,0,0,0,0,1,0,0,0,63,0,1,1,0.0,0.0,0.1,4,0,43,52,82.7,3,47,7,10,5,Match Report
N,29,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,WB,18,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,5,1,3,2,Match Report
Y,30,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,RM,75,0,0,0,0,3,1,0,0,45,0,2,0,0.1,0.1,0.0,5,3,24,35,68.6,5,21,4,2,0,Match Report
