name,Pitcher Strikeouts,Pitcher Fantasy Score,Walks Allowed,Hitter Fantasy Score,Singles,Total Bases,Runs,Hitter Strikeouts,Hits+Runs+RBIs,Walks,RBIs,Earned Runs Allowed,Pitching Outs,Hits Allowed,Hits
Marcus Stroman,5,30.5,1.5,,,,,,,,,,,,
Tanner Bibee,6,36.5,1.5,,,,,,,,,,,,
Dylan Cease,7,,,,,,,,,,,,,,
Jose Ramirez,,,,8,0.5,1.5,0.5,,,,,,,,
Steven Kwan,,,,7,,,,,,,,,,,
Andres Gimenez,,,,7.5,,,0.5,,,,,,,,
Fernando Tatis Jr.,,,,8,,1.5,0.5,,,,,,,,
Christopher Morel,,,,6.5,,,,1.5,,,,,,,
Manny Machado,,,,7,,,,0.5,,,,,,,
Cody Bellinger,,,,6.5,,,,,1.5,,,,,,
Xander Bogaerts,,,,7,,,,0.5,,,,,,,
Seiya Suzuki,,,,6.5,,,,,,,,,,,
Elly De La Cruz,,,,7.5,,,,,1.5,,,,,,
Christian Yelich,,,,8,,,0.5,,,,,,,,
Christian Encarnacion-Strand,,,,6.5,,,,,,,,,,,
Juan Soto,,,,7.5,,,,,,,,,,,
Josh Bell,,,,6.5,,,,,,,,,,,
Aaron Judge,,,,8,,,,,,,,,,,
Luis Arraez,,,,6,,,,,1.5,,,,,,
Rafael Devers,,,,7.5,,1.5,,,,,,,,,
Adley Rutschman,,,,7.5,,1.5,,,,,,,,,
Jarren Duran,,,,8,,1.5,,,,,,,,,
Anthony Santander,,,,7,,1.5,,,,,,,,,
Tyler O'Neill,,,,7.5,0.5,1.5,,,,,,,,,
Gunnar Henderson,,,,9,,,,,,,,,,,
Yordan Alvarez,,,,8,,1.5,,,,0.5,,,,,
Bobby Witt Jr.,,,,9.5,,,,,2.5,,,,,,
Jose Altuve,,,,7.5,,,0.5,0.5,,,,,,,
Salvador Perez,,,,7.5,,1.5,0.5,,,,,,,,
Kyle Tucker,,,,7,,,0.5,,,,,,,,
Corey Seager,,,,8.5,,,,,2.5,,,,,,
Marcus Semien,,,,8,,1.5,,,,,,,,,
J.D. Davis,,,,6,,,,,,,,,,,
Adolis Garcia,,,,8.5,,,,,2.5,,0.5,,,,
Wyatt Langford,,,,7.5,,,0.5,0.5,,,,,,,
Josh Naylor,,,,,0.5,1.5,,,,,,,,,
Jackson Chourio,,,,,0.5,,,,1.5,,,,,,
Erick Fedde,4,,,,,,,,,,,,,,
Braden Shewmake,,,,,,0.5,,,,,,,,,
Bo Naylor,,,,,,,,,1.5,,,,,,
Tyler Freeman,,,,,,,,,1.5,,,,,,
Andrew Benintendi,,,,,,,,0.5,,,,,,,
Nicky Lopez,,,,,,,,0.5,,,,,,,
Kyle Hendricks,,,1.5,,,,,,,,,2.5,17.5,,
Mike Tauchman,,,,,,0.5,,,,,,,,,
Tyler Wade,,,,,,0.5,,,,,,,,,
Ha-Seong Kim,,,,,,,,0.5,1.5,,,,,,
Jake Cronenworth,,,,,,,,0.5,1.5,,,,,,
Ian Happ,,,,,,,,,1.5,0.5,,,,,
Luis Campusano,,,,,,,,,1.5,,,,,,
Jurickson Profar,,,,,,,,0.5,1.5,,,,,,
Hunter Greene,7.5,,,,,,,,,,,,,,
Spencer Steer,,,,,,,0.5,,,,,,,,
Jackson Holliday,,,,6.5,,,,,1.5,,,,,,
Chas McCormick,,,,,0.5,,,,,,,,,,
Jonathan India,,,,,,,0.5,,,,,,,,
Jeimer Candelario,,,,,,,,,1.5,,,,,,
Santiago Espinal,,,,,,,,,1.5,,,,,,
Willy Adames,,,,,,,,,1.5,,,,,,
Ryan Weathers,4,,,,,,,,,,,,14.5,4.5,
Nick Fortes,,,,,,0.5,,0.5,,,,,,,
Jake Burger,,,,,,,,,1.5,,,,,,
Brice Turang,,,,,,,,,,,,,,,0.5
Cole Irvin,4.5,,,,,,,,,,,2.5,,5.5,
Kutter Crawford,5,22.5,1.5,,,,,,,,,,,,
Ceddanne Rafaela,,,,,,,,,1.5,,,,,,
Masataka Yoshida,,,,,,,,,1.5,,,,,,
Triston Casas,,,,,,,,,1.5,,,,,,
Seth Lugo,4,,,,,,,,,,,,17.5,,
Yainer Diaz,,,,,,1.5,,0.5,,,,,,,
Adam Frazier,,,,,,,,0.5,,,,,,,
Jeremy Pena,,,,,,,,0.5,,,,,,,
Maikel Garcia,,,,,,1.5,,,,,,,,,
Kyle Isbel,,,,,,,,0.5,,,,,,,
MJ Melendez,,,,,,,0.5,,1.5,,,,,,
Nelson Velazquez,,,,,,,,,1.5,,,,,,
Ross Stripling,3.5,,,,,,,,,,,,,5.5,
Cody Bradford,,30.5,,,,,,,,,,,16.5,,
Jonah Heim,,,,,,,,0.5,1.5,,,,,,
Nick Allen,,,,,,,,0.5,,,,,,,
Pablo Reyes,,,,,,,,,1.5,,,,,,
Josh Smith,,,,,,,,,1.5,,,,,,
Abraham Toro,,,,,,,,,1.5,,,,,,
Brent Rooker,,,,,,,,,1.5,,,,,,
Evan Carter,,,,,,,,,1.5,,,,,,
Leody Taveras,,,,,,,,,1.5,,,,,,
