name,opponent,Passes Attempted,Goalie Saves,Tackles,Touches,Shots,Attempted Dribbles,Fouls,Shots On Target,Shots Assisted,Clearances,Fouls Drawn
Aymeric Laporte,France,93.5,,,,,,,,,,
Mike Maignan,Spain,,3.5,,,,,,,,,
Theo Hernandez,Spain,49.5,,2,,,,,,,,
Marc Cucurella,France,59.5,,2,73.5,,,,,,,
Ousmane Dembele,Spain,,,,,1.5,5.5,,,,,
Alvaro Morata,France,,,,,2,,1.5,,,,
William Saliba,Spain,48.5,,,61.5,,,,,,,
Marcus Thuram,Spain,,,,,1.5,,,0.5,,,
Jules Kounde,Spain,42.5,,,,,,,,,,
Rodri,France,89.5,,,,,,1.5,,,,
Kylian Mbappe,Spain,,,,,,,,,1.5,,
Dayot Upamecano,Spain,,,,,,,,,,3.5,
Fabian Ruiz,France,77.5,,,88.5,,,,,,,
Antoine Griezmann,Spain,,,,,1.5,,0.5,,,,
N'Golo Kante,Spain,51.5,,,62.5,,,1.5,,,,
Lamine Yamal,France,,,1.5,,2,,,0.5,2.5,,
Nico Williams,France,,,,,,6.5,,,,,
Nacho,France,,,,,,,,,,3.5,
Unai Simon,France,,3,,,,,,,,,
Adrien Rabiot,Spain,,,,,0.5,,,,,,
Aurelien Tchouameni,Spain,,,,,,,1.5,,,,
Stephen Eustaquio,Argentina,44.5,,4,,0.5,,,,,,
Maxime Crepeau,Argentina,,4,,,,,,,,,
Emiliano Martinez,Canada,,2,,,,,,,,,
Richie Laryea,Argentina,,,,,0.5,,,,,,
Cyle Larin,Argentina,,,,,1.5,,,0.5,0.5,,
Nahuel Molina,Canada,,,2,,,,,,,,
Nicolas Tagliafico,Canada,50.5,,2,,,,,,,,
Lionel Messi,Canada,33.5,,,,3.5,5.5,,1.5,2.5,,
Lautaro Martinez,Canada,,,,,2.5,,,,,,
Julian Alvarez,Canada,,,,,2.5,,,,,,
Cristian Romero,Canada,80.5,,,,0.5,,,,,,
Alistair Johnston,Argentina,33.5,,4.5,,,,,,,,
Alexis Mac Allister,Canada,46.5,,3,,,,,,,,
Nicolas Gonzalez,Canada,,,,,,2.5,,,,,
Rodrigo De Paul,Canada,,,2,,,,,,1.5,,
Enzo Fernandez,Canada,,,1.5,,,,,,,,
Lisandro Martinez,Canada,,,,,,,,,,2.5,
Jonathan Osorio,Argentina,,,3,,0.5,,,,,,
Ismael Kone,Argentina,,,3,,,,,,,,
Moise Bombito,Argentina,,,2.5,,,,,,,,
John Stones,Netherlands,73.5,,,76.5,,,,,,,
Jerdy Schouten,England,55.5,,1.5,63.5,,,,,,,
Denzel Dumfries,England,41.5,,,66.5,,,1.5,,,,
Cody Gakpo,England,,,,,2,,,,2.5,,
Marc Guehi,Netherlands,,,,,,,,,,2.5,
Stefan de Vrij,England,,,2,,,,,,,3.5,
Jude Bellingham,Netherlands,47.5,,2,,,,,,,,
Phil Foden,Netherlands,47.5,,,63.5,2,,0.5,0.5,1.5,,
Memphis Depay,England,,,,,2.5,,,,,,
Bukayo Saka,Netherlands,,,,,2,3.5,,,,,
Jordan Pickford,Netherlands,,2.5,,,,,,,,,
Declan Rice,Netherlands,68.5,,,,,,,,,,
Virgil van Dijk,England,66.5,,,,,,,,,,
Tijjani Reijnders,England,46.5,,,,,,,,,,
Harry Kane,Netherlands,,,,,2.5,,,,,,
Kieran Trippier,Netherlands,,,2,,,,,,,,
Kobbie Mainoo,Netherlands,,,2,,,,,,,,
Bart Verbruggen,England,,3,,,,,,,,,
William,Gremio,,,3,,,,,,,,
Matheus Pereira,Gremio,,,,,2.5,,,,1.5,,
Franco Cristaldo,Cruzeiro,,,,,2.5,,,,3,,
Lucas Villalba,Gremio,,,,,,,,,,4,
Lucas Silva,Gremio,34.5,,,,,,,,,,
Dodi,Cruzeiro,,,1.5,,0.5,,,,,,
Geromel,Cruzeiro,50.5,,,,,,,,,,
Reinaldo,Cruzeiro,,,,,0.5,,,,,,
Gustavo Nunes,Cruzeiro,,,,,1.5,,,,,,
Rafael Cabral,Cruzeiro,,2.5,,,,,,,,,
Mathias Villasanti,Cruzeiro,,,,,0.5,,,,,,
Joao Pedro,Cruzeiro,,,,,,,,,,,0.5
Anderson,Gremio,,3,,,,,,,,,
Cristian Pavon,Cruzeiro,,,,,,1.5,,,,,
Gustavo Martins,Cruzeiro,,,,,,,,,,4,
Lucas Romero,Gremio,,,,,0.5,,,,,,
Gabriel Veron,Gremio,,,,,,,,0.5,,,
Marlon,Gremio,,,,,,,,,,,0.5
Arthur Gomes,Gremio,,,,,,,,0.5,,,
Alvaro Barreal,Gremio,,,,,1.5,,,,,,
Jhon Arias,Uruguay,,,2,,,,2,,,,
Carlos Cuesta,Uruguay,,,,,,,,,,3.5,
Luis Diaz,Uruguay,23.5,,,,2,5.5,,0.5,,,
James Rodriguez,Uruguay,37.5,,1.5,,2,,0.5,0.5,3,,
Jhon Duran,Uruguay,,,,,2,,,0.5,,,
Federico Valverde,Colombia,44.5,,,,1.5,,,,,,
Darwin Nunez,Colombia,14.5,,,,,,,,,,
Yerry Mina,Uruguay,,,,,0.5,,,,,,
Matias Vina,Colombia,,,2.5,,0.5,,,,,,
Richard Rios,Uruguay,,,2,,,,,,,,
Daniel Munoz,Uruguay,35.5,,4,,0.5,,2,,,,
Ronald Araujo,Colombia,46.5,,,,0.5,,1.5,,,,
Manuel Ugarte,Colombia,,,4,,0.5,,1.5,,,,
Nicolas de la Cruz,Colombia,,,,,1.5,,1.5,,2.5,,
Rodrigo Bentancur,Colombia,,,2,,0.5,,1.5,,,,
Jose Gimenez,Colombia,,,,,,,,,,3.5,
Luis Suarez,Colombia,,,,,2,,,0.5,,,
Facundo Pellistri,Colombia,,,,,,2.5,,,,,
Jhon Cordoba,Uruguay,,,,,2,,,0.5,,,
Luis Sinisterra,Uruguay,,,,,2,,,0.5,,,
Davinson Sanchez,Uruguay,,,2.5,,,,,,,,
Deiver Machado,Uruguay,,,2,,,,2.5,,,,
Kevin Castano,Uruguay,,,,,0.5,,,,,,
Maximiliano Araujo,Colombia,,,,,1.5,,,,,,
